KO	ID	KCLASS	KPATH	EC	NAME
K00844	HK	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	2.7.1.1	hexokinase
K12407	GCK	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	2.7.1.2	glucokinase
K00845	glk	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	2.7.1.2	glucokinase
K01810	GPI	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	5.3.1.9	glucose-6-phosphate isomerase
K06859	pgi1	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	5.3.1.9	glucose-6-phosphate isomerase, archaeal
K13810	tal-pgi	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	2.2.1.2	transaldolase / glucose-6-phosphate isomerase
K15916	pgi-pmi	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	5.3.1.9	glucose/mannose-6-phosphate isomerase
K00850	pfkA	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	2.7.1.11	6-phosphofructokinase 1
K16370	pfkB	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	2.7.1.11	6-phosphofructokinase 2
K03841	FBP	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	3.1.3.11	fructose-1,6-bisphosphatase I
K02446	glpX	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	3.1.3.11	fructose-1,6-bisphosphatase II
K11532	glpX-SEBP	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	3.1.3.11	fructose-1,6-bisphosphatase II / sedoheptulose-1,7-bisphosphatase
K04041	fbp3	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	3.1.3.11	fructose-1,6-bisphosphatase III
K01623	ALDO	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	4.1.2.13	fructose-bisphosphate aldolase, class I
K11645	fbaB	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	4.1.2.13	fructose-bisphosphate aldolase, class I
K01624	FBA	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	4.1.2.13	fructose-bisphosphate aldolase, class II
K01622	K01622	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	4.1.2.13	fructose 1,6-bisphosphate aldolase/phosphatase
K16305	K16305	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	4.1.2.13	fructose-bisphosphate aldolase / 6-deoxy-5-ketofructose 1-phosphate synthase
K16306	K16306	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	4.1.2.13	fructose-bisphosphate aldolase / 2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase
K01803	TPI	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	5.3.1.1	triosephosphate isomerase (TIM)
K00134	GAPDH	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	1.2.1.12	glyceraldehyde 3-phosphate dehydrogenase
K10705	GAPDHS	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase, spermatogenic
K00150	gap2	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	1.2.1.59	glyceraldehyde-3-phosphate dehydrogenase (NAD(P))
K00927	PGK	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	2.7.2.3	phosphoglycerate kinase
K01834	PGAM	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	5.4.2.1	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
K15633	gpmI	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	5.4.2.1	2,3-bisphosphoglycerate-independent phosphoglycerate mutase
K15634	gpmB	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	5.4.2.1	probable phosphoglycerate mutase
K15635	apgM	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	5.4.2.1	2,3-bisphosphoglycerate-independent phosphoglycerate mutase
K01689	ENO	Metabolism	Carbohydrate-metabolism	Glycolysis-Gluconeogenesis	4.2.1.11	enolase
